category_code_alphabetical,category_code_numerical,video_name_count,category,tiktok_search_prompt,link,MediaInfo_video_length_seconds,MediaInfo_video_length_milliseconds,channel,video_name_count_channel,video_pathway,length_grouping
D,4,unboxing_9,unboxing,unboxing with me,https://www.tiktok.com/@jenniferalmeidax/video/7491019539581242667?q=unbox%20package%20with%20me&t=1754171726604,20.155,20155,jenniferalmeidax,unboxing_9_jenniferalmeidax,stimuli/tiktok_stim/unboxing/unboxing_9_jenniferalmeidax.mp4,short
E,5,cookie_recipes_1,cookie_recipes,cookie recipe,https://www.tiktok.com/@athomewithchelseaa/video/7470153477411409184?lang=en&q=cookie%20recipe%20simple%20short&t=1753798984375,17.434,17434,athomewithchelseaa,cookie_recipes_1_athomewithchelseaa,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_1_athomewithchelseaa.mp4,medium
E,5,cookie_recipes_10,cookie_recipes,#cookierecipes,https://www.tiktok.com/@xtinabakes/video/6852420054512913669?q=short%20cookie%20recipes&t=1752864247608,22.337,22337,xtinabakes,cookie_recipes_10_xtinabakes,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_10_xtinabakes.mp4,medium
E,5,cookie_recipes_11,cookie_recipes,#cookierecipes,https://www.tiktok.com/@beth_thefirstyear/video/7358865432318610731?q=short%20cookie%20recipes&t=1752864247608,30.628,30628,beth_thefirstyear,cookie_recipes_11_beth_thefirstyear,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_11_beth_thefirstyear.mp4,medium
E,5,cookie_recipes_12,cookie_recipes,#cookierecipes,https://www.tiktok.com/@laneyg04/video/7460699276088413483?lang=en,25.682,25682,laneyg04,cookie_recipes_12_laneyg04,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_12_laneyg04.mp4,medium
E,5,cookie_recipes_2,cookie_recipes,cookie recipe,https://www.tiktok.com/@tastebyudr/video/7369403701599177989?q=cookie%20recipe&t=1752859428444,29.768,29768,tastebyudr,cookie_recipes_2_tastebyudr,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_2_tastebyudr.mp4,medium
E,5,cookie_recipes_3,cookie_recipes,cookie recipe easy,https://www.tiktok.com/@givethemgrace/video/7242089377449495854?q=cookie%20recipe%20easy&t=1752859923934,24.381,24381,givethemgrace,cookie_recipes_3_givethemgrace,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_3_givethemgrace.mp4,medium
E,5,cookie_recipes_4,cookie_recipes,cookie recipe ingredients,https://www.tiktok.com/@kalejunkie/video/7260302706680565034?q=cookie%20recipe%20ingredients&t=1752860600051,26.634,26634,kalejunkie,cookie_recipes_4_kalejunkie,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_4_kalejunkie.mp4,medium
E,5,cookie_recipes_5,cookie_recipes,cookie recipe ingredients,https://www.tiktok.com/@zenergyjen/video/7157017144708861189?q=cookie%20recipe%20ingredients&t=1752860600051,13.329,13329,zenergyjen,cookie_recipes_5_zenergyjen,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_5_zenergyjen.mp4,medium
E,5,cookie_recipes_6,cookie_recipes,cookie recipe ingredients,https://www.tiktok.com/@misobutterbaby/video/7453111285429996806?q=cookie%20recipe&t=1752861629546,25.264,25264,misobutterbaby,cookie_recipes_6_misobutterbaby,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_6_misobutterbaby.mp4,medium
E,5,cookie_recipes_7,cookie_recipes,easy cookie recipes,https://www.tiktok.com/@feelgoodfoodie/video/7230621253579607339?q=easy%20cookie%20recipes&t=1752862295062,15.651,15651,feelgoodfoodie,cookie_recipes_7_feelgoodfoodie,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_7_feelgoodfoodie.mp4,medium
E,5,cookie_recipes_8,cookie_recipes,easy cookie recipes,https://www.tiktok.com/@lifewithtuyen/video/7504375653551148318?q=easy%20cookie%20recipes&t=1752862295062,20.898,20898,lifewithtuyen,cookie_recipes_8_lifewithtuyen,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_8_lifewithtuyen.mp4,medium
E,5,cookie_recipes_9,cookie_recipes,easy cookie recipes,https://www.tiktok.com/@themodernnonna/video/7174578053576690949?q=simple%20cookie%20recipes&t=1752862893582,21.267,21267,themodernnonna,cookie_recipes_9_themodernnonna,stimuli/tiktok_stim/cookie_recipes/cookie_recipes_9_themodernnonna.mp4,medium
F,6,diy_bracelets_1,diy_bracelets,diy bracelet,https://www.tiktok.com/@thebombbraceletss/video/7288092394405334314?q=diy%20bracelet&t=1753192685830,31.417,31417,thebombbraceletss,diy_bracelets_1_thebombbraceletss,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_1_thebombbraceletss.mp4,long
F,6,diy_bracelets_10,diy_bracelets,how to bracelet,https://www.tiktok.com/@braceletsforfriendship/video/7128029173192461574?q=how%20to%20bracelet&t=1753205592855,28.967,28967,braceletsforfriendship,diy_bracelets_10_braceletsforfriendship,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_10_braceletsforfriendship.mp4,long
F,6,diy_bracelets_11,diy_bracelets,easy bracelet tutorials,https://www.tiktok.com/@sharkb1acelets/video/7239653543752273178?q=easy%20bracelet%20tutorial&t=1753544412155,17.857,17857,sharkb1acelets,diy_bracelets_11_sharkb1acelets,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_11_sharkb1acelets.mp4,long
F,6,diy_bracelets_12,diy_bracelets,easy bracelet tutorials,https://www.tiktok.com/@swiss.toni/video/7218637180179123498?q=easy%20bracelet%20tutorials&t=1753206088443,29.2,29200,swiss.toni,diy_bracelets_12_swiss.toni,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_12_swiss.toni.mp4,long
F,6,diy_bracelets_2,diy_bracelets,diy bracelet,https://www.tiktok.com/@bracednbouji.llc/video/7494024613609917742?q=how%20to%20make%20bracelet&t=1753202989732,31.347,31347,bracednbouji.llc,diy_bracelets_2_bracednbouji.llc,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_2_bracednbouji.llc.mp4,long
F,6,diy_bracelets_3,diy_bracelets,diy bracelet,https://www.tiktok.com/@jh.life_handmade/video/7218349541299506478?q=easy%20bracelet%20tutorial&t=1753544412155,23.36,23360,jh.life_handmade,diy_bracelets_3_jh.life_handmade,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_3_jh.life_handmade.mp4,long
F,6,diy_bracelets_4,diy_bracelets,diy bracelet,https://www.tiktok.com/@giota.creations/video/7054490377281195270?q=DIY%20bracelet%20tutorial&t=1753203782070,28.7,28700,giota.creations,diy_bracelets_4_giota.creations,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_4_giota.creations.mp4,long
F,6,diy_bracelets_5,diy_bracelets,diy bracelet,https://www.tiktok.com/@natsjewelrylv/video/7190088373246397742?q=DIY%20bracelet%20tutorial&t=1753203782070,13.859,13859,natsjewelrylv,diy_bracelets_5_natsjewelrylv,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_5_natsjewelrylv.mp4,long
F,6,diy_bracelets_6,diy_bracelets,diy bracelet,https://www.tiktok.com/@wittywhispersco/video/7195165533132639494?q=easy%20bracelet%20tutorial&t=1753544412155,20.898,20898,wittywhispersco,diy_bracelets_6_wittywhispersco,stimuli/tiktok_stim/diy_bracelets/diy_bracelets_6_wittywhispersco.mp4,long
